Training: 2021-04-24 22:03:54,921-rank_id: 0
Training: 2021-04-24 22:04:09,774-softmax weight init successfully!
Training: 2021-04-24 22:04:09,774-softmax weight mom init successfully!
Training: 2021-04-24 22:04:09,778-Total Step is: 295681
Training: 2021-04-24 22:06:13,459-rank_id: 0
Training: 2021-04-24 22:06:25,687-softmax weight init successfully!
Training: 2021-04-24 22:06:25,687-softmax weight mom init successfully!
Training: 2021-04-24 22:06:25,690-Total Step is: 295681
Training: 2021-04-24 22:07:12,327-Reducer buckets have been rebuilt in this iteration.
Training: 2021-04-24 22:08:19,516-Speed 768.62 samples/sec   Loss 39.1512   Epoch: 0   Global Step: 100   Required: 57 hours
Training: 2021-04-24 22:08:52,774-Speed 769.75 samples/sec   Loss 39.1494   Epoch: 0   Global Step: 150   Required: 56 hours
Training: 2021-04-24 22:09:26,060-Speed 769.10 samples/sec   Loss 38.8942   Epoch: 0   Global Step: 200   Required: 56 hours
Training: 2021-04-24 22:10:00,111-Speed 751.83 samples/sec   Loss 38.4116   Epoch: 0   Global Step: 250   Required: 56 hours
Training: 2021-04-24 22:10:33,767-Speed 760.64 samples/sec   Loss 38.0241   Epoch: 0   Global Step: 300   Required: 56 hours
Training: 2021-04-24 22:11:07,108-Speed 767.83 samples/sec   Loss 37.3839   Epoch: 0   Global Step: 350   Required: 56 hours
Training: 2021-04-24 22:11:40,442-Speed 768.00 samples/sec   Loss 36.6895   Epoch: 0   Global Step: 400   Required: 55 hours
Training: 2021-04-24 22:12:13,791-Speed 767.65 samples/sec   Loss 36.0811   Epoch: 0   Global Step: 450   Required: 55 hours
Training: 2021-04-24 22:12:47,507-Speed 759.31 samples/sec   Loss 35.4091   Epoch: 0   Global Step: 500   Required: 55 hours
Training: 2021-04-24 22:13:20,843-Speed 767.93 samples/sec   Loss 34.7339   Epoch: 0   Global Step: 550   Required: 55 hours
Training: 2021-04-24 22:13:54,178-Speed 767.98 samples/sec   Loss 34.2349   Epoch: 0   Global Step: 600   Required: 55 hours
Training: 2021-04-24 22:14:27,519-Speed 767.83 samples/sec   Loss 33.6400   Epoch: 0   Global Step: 650   Required: 55 hours
Training: 2021-04-24 22:15:00,853-Speed 768.01 samples/sec   Loss 33.0611   Epoch: 0   Global Step: 700   Required: 55 hours
Training: 2021-04-24 22:15:34,181-Speed 768.14 samples/sec   Loss 32.4967   Epoch: 0   Global Step: 750   Required: 55 hours
Training: 2021-04-24 22:16:08,259-Speed 751.21 samples/sec   Loss 32.0241   Epoch: 0   Global Step: 800   Required: 55 hours
Training: 2021-04-24 22:16:41,951-Speed 759.84 samples/sec   Loss 31.5693   Epoch: 0   Global Step: 850   Required: 55 hours
Training: 2021-04-24 22:17:15,265-Speed 768.46 samples/sec   Loss 31.1158   Epoch: 0   Global Step: 900   Required: 55 hours
Training: 2021-04-24 22:17:48,582-Speed 768.39 samples/sec   Loss 30.6266   Epoch: 0   Global Step: 950   Required: 55 hours
Training: 2021-04-24 22:18:21,899-Speed 768.38 samples/sec   Loss 30.1295   Epoch: 0   Global Step: 1000   Required: 55 hours
Training: 2021-04-24 22:18:55,211-Speed 768.51 samples/sec   Loss 29.6929   Epoch: 0   Global Step: 1050   Required: 55 hours
Training: 2021-04-24 22:19:28,896-Speed 759.99 samples/sec   Loss 29.1349   Epoch: 0   Global Step: 1100   Required: 55 hours
Training: 2021-04-24 22:20:02,207-Speed 768.54 samples/sec   Loss 28.6396   Epoch: 0   Global Step: 1150   Required: 55 hours
Training: 2021-04-24 22:20:35,524-Speed 768.39 samples/sec   Loss 28.2410   Epoch: 0   Global Step: 1200   Required: 55 hours
Training: 2021-04-24 22:21:08,830-Speed 768.64 samples/sec   Loss 27.6318   Epoch: 0   Global Step: 1250   Required: 55 hours
Training: 2021-04-24 22:21:42,133-Speed 768.70 samples/sec   Loss 27.2253   Epoch: 0   Global Step: 1300   Required: 55 hours
Training: 2021-04-24 22:22:15,431-Speed 768.83 samples/sec   Loss 26.6797   Epoch: 0   Global Step: 1350   Required: 55 hours
Training: 2021-04-24 22:22:49,092-Speed 760.54 samples/sec   Loss 26.1378   Epoch: 0   Global Step: 1400   Required: 55 hours
Training: 2021-04-24 22:23:22,401-Speed 768.56 samples/sec   Loss 25.7328   Epoch: 0   Global Step: 1450   Required: 55 hours
Training: 2021-04-24 22:23:56,127-Speed 759.08 samples/sec   Loss 25.2126   Epoch: 0   Global Step: 1500   Required: 55 hours
Training: 2021-04-24 22:24:29,445-Speed 768.35 samples/sec   Loss 24.6760   Epoch: 0   Global Step: 1550   Required: 55 hours
Training: 2021-04-24 22:25:03,126-Speed 760.09 samples/sec   Loss 24.2171   Epoch: 0   Global Step: 1600   Required: 55 hours
Training: 2021-04-24 22:25:36,451-Speed 768.19 samples/sec   Loss 23.8085   Epoch: 0   Global Step: 1650   Required: 55 hours
Training: 2021-04-24 22:26:09,766-Speed 768.43 samples/sec   Loss 23.2596   Epoch: 0   Global Step: 1700   Required: 55 hours
Training: 2021-04-24 22:26:43,085-Speed 768.35 samples/sec   Loss 22.7268   Epoch: 0   Global Step: 1750   Required: 55 hours
Training: 2021-04-24 22:27:16,772-Speed 759.95 samples/sec   Loss 22.3552   Epoch: 0   Global Step: 1800   Required: 55 hours
Training: 2021-04-24 22:27:50,087-Speed 768.43 samples/sec   Loss 21.8770   Epoch: 0   Global Step: 1850   Required: 55 hours
Training: 2021-04-24 22:28:23,392-Speed 768.64 samples/sec   Loss 21.4807   Epoch: 0   Global Step: 1900   Required: 55 hours
Training: 2021-04-24 22:28:56,697-Speed 768.68 samples/sec   Loss 21.0198   Epoch: 0   Global Step: 1950   Required: 55 hours
Training: 2021-04-24 22:29:30,006-Speed 768.57 samples/sec   Loss 20.6526   Epoch: 0   Global Step: 2000   Required: 55 hours
Training: 2021-04-24 22:30:03,322-Speed 768.41 samples/sec   Loss 20.2791   Epoch: 0   Global Step: 2050   Required: 55 hours
Training: 2021-04-24 22:30:36,976-Speed 760.69 samples/sec   Loss 19.8019   Epoch: 0   Global Step: 2100   Required: 55 hours
Training: 2021-04-24 22:31:10,294-Speed 768.38 samples/sec   Loss 19.3180   Epoch: 0   Global Step: 2150   Required: 55 hours
Training: 2021-04-24 22:31:44,024-Speed 758.99 samples/sec   Loss 19.0810   Epoch: 0   Global Step: 2200   Required: 55 hours
Training: 2021-04-24 22:32:17,339-Speed 768.43 samples/sec   Loss 18.6537   Epoch: 0   Global Step: 2250   Required: 55 hours
Training: 2021-04-24 22:32:51,018-Speed 760.13 samples/sec   Loss 18.2811   Epoch: 0   Global Step: 2300   Required: 55 hours
Training: 2021-04-24 22:33:24,338-Speed 768.32 samples/sec   Loss 18.0250   Epoch: 0   Global Step: 2350   Required: 55 hours
Training: 2021-04-24 22:33:57,663-Speed 768.19 samples/sec   Loss 17.6397   Epoch: 0   Global Step: 2400   Required: 55 hours
Training: 2021-04-24 22:34:30,983-Speed 768.32 samples/sec   Loss 17.3449   Epoch: 0   Global Step: 2450   Required: 55 hours
Training: 2021-04-24 22:35:04,675-Speed 759.85 samples/sec   Loss 17.1242   Epoch: 0   Global Step: 2500   Required: 55 hours
Training: 2021-04-24 22:35:38,000-Speed 768.19 samples/sec   Loss 16.6897   Epoch: 0   Global Step: 2550   Required: 55 hours
Training: 2021-04-24 22:36:11,318-Speed 768.38 samples/sec   Loss 16.5295   Epoch: 0   Global Step: 2600   Required: 55 hours
Training: 2021-04-24 22:36:44,649-Speed 768.07 samples/sec   Loss 16.0821   Epoch: 0   Global Step: 2650   Required: 55 hours
Training: 2021-04-24 22:37:17,972-Speed 768.23 samples/sec   Loss 15.8924   Epoch: 0   Global Step: 2700   Required: 54 hours
Training: 2021-04-24 22:37:51,292-Speed 768.33 samples/sec   Loss 15.6708   Epoch: 0   Global Step: 2750   Required: 54 hours
Training: 2021-04-24 22:38:24,614-Speed 768.27 samples/sec   Loss 15.5015   Epoch: 0   Global Step: 2800   Required: 54 hours
Training: 2021-04-24 22:38:58,275-Speed 760.53 samples/sec   Loss 15.1802   Epoch: 0   Global Step: 2850   Required: 54 hours
Training: 2021-04-24 22:39:31,592-Speed 768.40 samples/sec   Loss 14.9606   Epoch: 0   Global Step: 2900   Required: 54 hours
Training: 2021-04-24 22:40:05,273-Speed 760.07 samples/sec   Loss 14.8134   Epoch: 0   Global Step: 2950   Required: 54 hours
Training: 2021-04-24 22:40:38,593-Speed 768.32 samples/sec   Loss 14.6472   Epoch: 0   Global Step: 3000   Required: 54 hours
Training: 2021-04-24 22:41:12,344-Speed 758.50 samples/sec   Loss 14.4347   Epoch: 0   Global Step: 3050   Required: 54 hours
Training: 2021-04-24 22:41:45,661-Speed 768.40 samples/sec   Loss 14.2630   Epoch: 0   Global Step: 3100   Required: 54 hours
